"x"
"((((1_2012212021:0.0625,2_2112212021:0.0625):0.0625,(3_2112212021:0.0625,4_2112212021:0.0625):0.0625):0.2986161709,(5_0012212221:0.3109309375,6_0012012221:0.2731609643):0.2986161709):0.3963324726,((8_2120010021:0.0625,9_2120010021:0.0625):0.0625,10_0112212221:0.0625):0.3407005668);"
"(((1_1112212001:0.04545454545,2_1112212001:0.04545454545):0.04545454545,(3_1112212001:0.04545454545,4_1112212001:0.04545454545):0.04545454545):0.2987224162,(((5_1102000001:0.04545454545,6_2100012001:0.04545454545):0.04545454545,(7_1111111021:0.04545454545,8_1111111021:0.04545454545):0.04545454545):0.2987224162,((9_1111111121:0.2786847949,10_1111111121:0.2786847949):0.2786847949,(11_1111111121:0.2786847949,12_1111111121:0.2786847949):0.2786847949):0.2987224162):0.2987224162);"
"(((1_2120211221:0.2353657335,2_2120212221:0.2353657335):0.05555555556,(3_2110100021:0.05555555556,4_2110100021:0.05555555556):0.05555555556):0.4683062136,(((5_1110112221:0.05555555556,6_1110112221:0.05555555556):0.05555555556,(7_1110111221:0.05555555556,8_1110111221:0.05555555556):0.05555555556):0.2290449888,(9_0111111221:0.2476675808,10_1111111221:0.2290449888):0.2290449888):0.2812790871);"
"(((1_2102111221:0.189640969,2_2102111221:0.189640969):0.189640969,(3_2102010221:0.05555555556,4_2102010221:0.05555555556):0.189640969):0.3632207513,(((9_1112011121:0.2533587813,10_1112011121:0.2533587813):0.2533587813,(11_1112010021:0.05555555556,12_1112011021:0.05555555556):0.2533587813):0.05555555556,(13_0210012201:0.05555555556,14_0210012201:0.05555555556):0.05555555556):0.3632207513);"
"(((1_0101001001:0.07142857143,2_2101101000:0.07142857143):0.07142857143,(3_2100101000:0.07142857143,4_2100101000:0.07142857143):0.07142857143):0.3715322316,((5_1101201221:0.07142857143,6_2101001000:0.07142857143):0.07142857143,(7_1111001001:0.2176379561,8_1111001021:0.2198664844):0.07142857143):0.3715322316);"
"((1_2100111000:0.1666666667,2_2100101000:0.1666666667):0.3762938082,(3_2100101000:0.1666666667,4_2100101000:0.1666666667):0.4603641331);"
"(((((1_2110101001:0.01315789474,2_2112111221:0.01315789474):0.01315789474,(3_2100101000:0.01315789474,4_2102110021:0.01315789474):0.01315789474):0.3543656766,((5_2112111221:0.01315789474,6_2112111221:0.01315789474):0.01315789474,(7_1111001211:0.01315789474,8_1111001211:0.01315789474):0.01315789474):0.3543656766):0.3543656766,(((9_2112111211:0.2943273187,10_0112210011:0.284484446):0.284484446,12_2112101000:0.284484446):0.3278027177,((13_2000100021:0.01315789474,14_2000100021:0.01315789474):0.01315789474,(15_2100101021:0.01315789474,16_2100101021:0.01315789474):0.01315789474):0.3543656766):0.3543656766):0.3543656766,(((((17_2111101021:0.1774238348,18_2111101021:0.1774238348):0.2210239768,(19_2111101011:0.2187869847,20_2111101011:0.2187869847):0.2187869847):0.01315789474,((21_2111101021:0.1774238348,22_2110101021:0.1774238348):0.01315789474,(23_2111101001:0.01315789474,24_2112111001:0.01315789474):0.01315789474):0.01315789474):0.01315789474,(((25_1101001020:0.1679142416,26_1111001000:0.164710179):0.01315789474,(27_2102111000:0.01315789474,28_1112011011:0.01315789474):0.01315789474):0.01315789474,((29_1111101021:0.01315789474,30_2100101021:0.01315789474):0.01315789474,(31_1112211011:0.2876338661,32_1112211011:0.2876338661):0.01315789474):0.01315789474):0.01315789474):0.3543656766,(((33_1122111121:0.284484446,34_1112011201:0.284484446):0.3278027177,(35_1111201221:0.2352968156,36_2101101000:0.2352968156):0.3543656766):0.3543656766,((43_2112111001:0.2040413767,44_2112111001:0.2040413767):0.2040413767,(45_2112111001:0.2040413767,46_2112111000:0.2040413767):0.2040413767):0.3543656766):0.3543656766):0.3543656766);"
"((((1_1110001221:0.02941176471,2_1110001221:0.02941176471):0.02941176471,((3_2110101221:0.1811874509,4_2120101221:0.1811874509):0.02941176471,(5_2112111221:0.02941176471,6_2112111221:0.02941176471):0.02941176471):0.02941176471):0.02941176471,(((7_2111101201:0.02941176471,8_2111101201:0.02941176471):0.02941176471,(9_2112111201:0.02941176471,10_2112111201:0.02941176471):0.02941176471):0.02941176471,((11_2112111221:0.02941176471,12_2112111221:0.02941176471):0.2576009631,(13_1112111221:0.2576009631,14_2112111221:0.2576009631):0.2576009631):0.02941176471):0.02941176471):0.3094105124,((15_2110101021:0.02941176471,16_2110101021:0.02941176471):0.02941176471,(17_2100101000:0.02941176471,24_2100101000:0.02941176471):0.02941176471):0.3094105124);"
"(((2_1100001000:0.03571428571,(3_1100010000:0.03571428571,4_1100001000:0.03571428571):0.03571428571):0.2006113827,((5_1102111000:0.2006113827,6_2100111000:0.2006113827):0.2006113827,(7_1100101000:0.1350651681,8_1100001000:0.1350651681):0.2006113827):0.2006113827):0.499602288,(((9_2120100100:0.03571428571,10_2220102101:0.03571428571):0.03571428571,(11_2220102200:0.03571428571,12_2100101000:0.03571428571):0.03571428571):0.03571428571,((13_2020100101:0.03571428571,14_2020100101:0.03571428571):0.03571428571,(15_2020100101:0.03571428571,16_2020100101:0.03571428571):0.03571428571):0.03571428571):0.499602288);"
"(((1_2120101121:0.0625,2_2120101121:0.0625):0.0625,((5_2110101210:0.1680037975,6_2100101210:0.1680037975):0.1680037975,(7_2100101200:0.0625,8_2100101200:0.0625):0.1680037975):0.0625):0.4013540149,((9_2100101000:0.0625,10_2102111000:0.0625):0.0625,12_2100101000:0.0625):0.4013540149);"
