parent,child,pred_len
2112111221,2112211221,0.2171824723482132
2112111201,2102111201,0.21439991891384125
2112111211,2112111201,0.254337877035141
2112111211,2112111221,0.2568188011646271
1112111221,1112011221,0.205703005194664
1112111211,1112111221,0.2791748642921448
1112111211,2112111211,0.2940375804901123
1110001211,1110001201,0.23278850317001343
1110001211,1110001221,0.23512554168701172
1112111111,2122111121,0.3193688690662384
1112111111,1112111211,0.2611287236213684
1112111111,2102111000,0.3738526701927185
1110001111,1100001001,0.28527000546455383
1110001111,1110001211,0.21906150877475739
1111111111,1110001111,0.32619965076446533
1111111111,1112111111,0.32780271768569946
