parent,child,pred_len
2101101000,2100101000,0.13344056904315948
2122111121,2122111021,0.22969071567058563
2111101000,2110101000,0.136043980717659
2111101000,2101101000,0.13706880807876587
2111111000,2100111000,0.1556565910577774
2111111000,2111101000,0.2049039751291275
0112111200,0112211200,0.19712482392787933
0112111200,0112011200,0.16977328062057495
2111111000,2100121000,0.15260609984397888
2122111121,2122211121,0.20882123708724976
2111111100,2121101100,0.2190728485584259
2111111100,2111111000,0.201065331697464
0111111100,0111011000,0.21180099248886108
0111111100,0112111200,0.22763597965240479
1111111100,0111111100,0.20757539570331573
1111111100,2111111100,0.2178994119167328
2112111121,2112112021,0.2953333258628845
2112111121,2122111121,0.21216849982738495
1111111111,2112111121,0.38709452748298645
1111111111,1111111100,0.2972622513771057
1111111111,2000120000,0.34259000420570374
1111111111,2210100001,0.516710638999939
