parent,child,pred_len
0100111121,0000111121,0.23099541664123535
0112111221,0112110221,0.24774552881717682
0100111111,0000111111,0.2650122046470642
0100111111,0100111121,0.3166857957839966
0111011221,0110011221,0.22165903449058533
0111111211,0110111211,0.27835068106651306
0111111211,0111011221,0.27131012082099915
0112111211,0112110211,0.2833201587200165
0112111211,0112111221,0.2952282130718231
1111211221,1112211221,0.28237736225128174
1111211211,1112211200,0.3398166596889496
1111211211,1111211221,0.29207494854927063
1111211111,2111211111,0.3259650468826294
1111211111,1111211101,0.3074142634868622
1111211111,1111211211,0.2735113799571991
2112111211,2112111221,0.2568188011646271
2112111211,2112111201,0.254337877035141
1111111111,2112111211,0.34587398171424866
1111111111,1111211111,0.29103535413742065
0111111211,0112111211,0.32610854506492615
1111111111,0111111211,0.28351858258247375
0100111111,0000211121,0.2950138449668884
1111111111,0100111111,0.3034566342830658
