parent,child,pred_len
1110210001,2110210001,0.33212020993232727
1110210001,0110210001,0.31858891248703003
1212211121,2212211221,0.20936612784862518
1212211121,0212211021,0.24458496272563934
1110210011,0100210021,0.37658002972602844
1110210011,1110210001,0.34723910689353943
0111211221,0110211221,0.2533007264137268
1111211111,0111211221,0.31433403491973877
1111211111,1110210011,0.3367564380168915
0100000101,0000000101,0.24158471822738647
1111111111,0100000101,0.3783802390098572
1111111111,1111211111,0.29103535413742065
1211211121,2220211021,0.2468404471874237
1211211121,1212211121,0.2364158183336258
1111111111,1211211121,0.3565061688423157
