parent,child,pred_len
2112111221,2122111221,0.1981280893087387
0112011221,0122011221,0.20976579189300537
2112111221,2212111221,0.24392426013946533
2112111221,2202112221,0.28561198711395264
2112111211,2102111200,0.25740888714790344
2112111211,2112111221,0.2568188011646271
0112111221,0122211221,0.2405591607093811
0112111221,0112011221,0.21881403028964996
1112111211,0112111221,0.30057522654533386
1112111211,2112111211,0.2940375804901123
1110101101,2000100000,0.27246689796447754
1110101101,0110001201,0.20974628627300262
1112111111,0102212101,0.37730541825294495
1112111111,1112111211,0.2611287236213684
1111111111,1112111111,0.32780271768569946
1111111111,1110101101,0.37317511439323425
